ID,NAME,CPF,RG,BIRTH_DATE,GENDER,MARITAL_STATUS,PHONE,EMAIL,NATURALITY,EMERGENCY_CONTACT,ALLERGY_LIST,SPECIFIC_CARE_LIST,HEALTH_INSURANCE,INSURANCE_NUMBER,INSURANCE_VALIDITY,STATUS,CREATED_AT,UPDATED_AT,ADDRESS_ID
1,John Doe,12345678901,1234567890,1985-05-10,MASCULINO,CASADO,11111111111,johndoe@example.com,São Paulo,22222222222,Penicillin allergy,N/A,Bradesco Saúde,123456789,2023-07-19,1,2023-07-19 10:00:00,2023-07-19 10:00:00,1
2,Jane Smith,23456789012,2345678901,1990-12-15,FEMININO,SOLTEIRO,22222222222,janesmith@example.com,Rio de Janeiro,33333333333,N/A,Diabetic care,Unimed,987654321,2023-07-20,1,2023-07-20 14:30:00,2023-07-20 14:30:00,2
3,Robert Johnson,34567890123,3456789012,1978-09-25,MASCULINO,SEPARADO,33333333333,robertjohnson@example.com,Belo Horizonte,44444444444,N/A,N/A,Amil,456789012,2023-07-21,1,2023-07-21 08:45:00,2023-07-21 08:45:00,3
4,Mary Silva,45678901234,4567890123,2000-03-05,FEMININO,VIUVO,44444444444,marysilva@example.com,Porto Alegre,55555555555,Peanuts allergy,N/A,SulAmérica,789012345,2023-07-22,1,2023-07-22 12:15:00,2023-07-22 12:15:00,4
5,Michael Lee,56789012345,5678901234,1995-11-20,MASCULINO,SOLTEIRO,55555555555,michaellee@example.com,Recife,66666666666,N/A,N/A,Bradesco Saúde,234567890,2023-07-23,1,2023-07-23 16:20:00,2023-07-23 16:20:00,5
6,Emily Johnson,67890123456,6789012345,1989-08-12,FEMININO,SOLTEIRO,66666666666,emilyjohnson@example.com,São Paulo,77777777777,N/A,N/A,SulAmérica,345678901,2023-07-24,1,2023-07-24 09:00:00,2023-07-24 09:00:00,6
7,David Silva,78901234567,7890123456,1982-04-28,MASCULINO,CASADO,77777777777,davidsilva@example.com,Rio de Janeiro,88888888888,N/A,N/A,Unimed,678901234,2023-07-25,1,2023-07-25 14:10:00,2023-07-25 14:10:00,7
8,Susan Lee,89012345678,8901234567,1975-12-02,FEMININO,CASADO,88888888888,susanlee@example.com,Belo Horizonte,99999999999,Gluten allergy,N/A,Bradesco Saúde,789012345,2023-07-26,1,2023-07-26 11:30:00,2023-07-26 11:30:00,8
9,William Smith,90123456789,9012345678,1998-10-17,MASCULINO,SOLTEIRO,99999999999,williamsmith@example.com,Porto Alegre,00000000000,N/A,N/A,Amil,890123456,2023-07-27,1,2023-07-27 13:40:00,2023-07-27 13:40:00,9
10,Amy Johnson,01234567890,0123456789,1993-07-08,FEMININO,VIUVO,00000000000,amyjohnson@example.com,Recife,11111111111,Penicillin allergy,N/A,SulAmérica,901234567,2023-07-28,1,2023-07-28 17:00:00,2023-07-28 17:00:00,10
