ID,TYPE,NAME,GENDER,CPF,PHONE,EMAIL,PASSWORD,CREATED_AT,UPDATED_AT
1,ADMIN,Admin User,MASCULINO,12345678901,11111111111,admin@example.com,$2a$10$8dJpCQYAlUTqTnKnIY5iAe3ceP44w8TnBxSCHvn3kaqI6vaxkaxZS,2023-07-19 10:00:00,2023-07-19 10:00:00
2,MEDICO,Dr. Smith,MASCULINO,23456789012,22222222222,drsmith@example.com,$2a$10$Rz86O4NEalWpbnmlpiIjcei29NEQV3PRMvUnv96NG1ItHTdveKagW,2023-07-20 14:30:00,2023-07-20 14:30:00
3,ENFERMEIRO,Enf. Johnson,FEMININO,34567890123,33333333333,enfjohnson@example.com,$2a$10$Ct4esRx7m52A7Q7JyPhzhuODh6iyl6FC.M3Y.Tia6MIRLAVONibDe,2023-07-21 08:45:00,2023-07-21 08:45:00
4,ENFERMEIRO,Enf. Silva,FEMININO,45678901234,44444444444,enfsilva@example.com,$2a$10$QRu91r8y6jwTH6tM2kbyB.mDTHw8x2mmZia1sSFWbJkswjAKzBtbi,2023-07-22 12:15:00,2023-07-22 12:15:00
5,MEDICO,Dr. Lee,MASCULINO,56789012345,55555555555,drlee@example.com,$2a$10$.6eqqk1OlnajwVx0ZB3LIuVKvLYw6BMvMVXpyEiPt1DXEV2vjEEdi,2023-07-23 16:20:00,2023-07-23 16:20:00
6,ADMIN,Admin2 User,FEMININO,67890123456,66666666666,admin2@example.com,$2a$10$8xTYsBv4o6.xos0AH/yS0Oni/ryqWZAIufdH72whfz8kF7G1Lyfcy,2023-07-24 09:00:00,2023-07-24 09:00:00
7,MEDICO,Dr. Johnson,MASCULINO,78901234567,77777777777,drjohnson@example.com,$2a$10$9SCNRA0GpIJZMcmPIuIOMuyHEJ8DYpjOhn4hTVVLyITZGJhXuycWq,2023-07-25 14:10:00,2023-07-25 14:10:00
8,ADMIN,Admin3 User,FEMININO,89012345678,88888888888,admin3@example.com,$2a$10$d1k2DLjZGe9m3KtlTbESKekI1JswTmI70iE8h0jAIpPMNReRVd9lG,2023-07-26 11:30:00,2023-07-26 11:30:00
9,MEDICO,Dr. Silva,MASCULINO,90123456789,99999999999,drsilva@example.com,$2a$10$ycRWwPz6hLy2tFVc3jhsIO9JFEpVEj1vIEuLBO2UVG9DtsYCBgKBi,2023-07-27 13:40:00,2023-07-27 13:40:00
10,ENFERMEIRO,Enf. Lee,OUTRO,01234567890,00000000000,enflee@example.com,$2a$10$Mfyzsvf1zUe5Iu7viRTMTObJqhxJ8r.cA6ylEoN.sVflCnU4XrrX6,2023-07-28 17:00:00,2023-07-28 17:00:00
